"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","host","1.2.0","USB","36","GET DESCRIPTOR Request DEVICE"
"2","0.000000","1.2.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"3","0.000000","host","1.2.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"4","0.000000","1.2.0","host","USB","112","GET DESCRIPTOR Response CONFIGURATION"
"5","0.000000","host","1.2.0","USB","36","SET CONFIGURATION Request"
"6","0.000000","1.2.0","host","USB","28","SET CONFIGURATION Response"
"37","0.000000","host","1.1.0","USB","36","GET DESCRIPTOR Request DEVICE"
"38","0.000000","1.1.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"39","0.000000","host","1.1.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"40","0.000000","1.1.0","host","USB","3504","GET DESCRIPTOR Response CONFIGURATION"
"41","0.000000","host","1.1.0","USB","36","SET CONFIGURATION Request"
"42","0.000000","1.1.0","host","USB","28","SET CONFIGURATION Response"
"47","0.086161","1.2.3","host","USB","47","URB_INTERRUPT in"
"48","0.086182","host","1.2.3","USB","27","URB_INTERRUPT in"
"49","0.103161","1.2.3","host","USB","47","URB_INTERRUPT in"
"50","0.103184","host","1.2.3","USB","27","URB_INTERRUPT in"
"53","0.135156","1.2.1","host","USB","40","URB_INTERRUPT in"
"54","0.135183","host","1.2.1","USB","27","URB_INTERRUPT in"
"55","0.138155","1.2.1","host","USB","40","URB_INTERRUPT in"
"56","0.138176","host","1.2.1","USB","27","URB_INTERRUPT in"
"57","0.139154","1.2.1","host","USB","40","URB_INTERRUPT in"
"58","0.139171","host","1.2.1","USB","27","URB_INTERRUPT in"
"59","0.142156","1.2.1","host","USB","40","URB_INTERRUPT in"
"60","0.142177","host","1.2.1","USB","27","URB_INTERRUPT in"
"61","0.143153","1.2.1","host","USB","40","URB_INTERRUPT in"
"62","0.143171","host","1.2.1","USB","27","URB_INTERRUPT in"
"63","0.145152","1.2.1","host","USB","40","URB_INTERRUPT in"
"64","0.145168","host","1.2.1","USB","27","URB_INTERRUPT in"
"65","0.148160","1.2.1","host","USB","40","URB_INTERRUPT in"
"66","0.148190","host","1.2.1","USB","27","URB_INTERRUPT in"
"68","0.150152","1.2.1","host","USB","40","URB_INTERRUPT in"
"69","0.150171","host","1.2.1","USB","27","URB_INTERRUPT in"
"71","0.152158","1.2.1","host","USB","40","URB_INTERRUPT in"
"72","0.152184","host","1.2.1","USB","27","URB_INTERRUPT in"
"73","0.153154","1.2.1","host","USB","40","URB_INTERRUPT in"
"74","0.153173","host","1.2.1","USB","27","URB_INTERRUPT in"
"75","0.154159","1.2.1","host","USB","40","URB_INTERRUPT in"
"76","0.154191","host","1.2.1","USB","27","URB_INTERRUPT in"
"77","0.155155","1.2.1","host","USB","40","URB_INTERRUPT in"
"78","0.155174","host","1.2.1","USB","27","URB_INTERRUPT in"
"79","0.156152","1.2.1","host","USB","40","URB_INTERRUPT in"
"80","0.156169","host","1.2.1","USB","27","URB_INTERRUPT in"
"81","0.157152","1.2.1","host","USB","40","URB_INTERRUPT in"
"82","0.157168","host","1.2.1","USB","27","URB_INTERRUPT in"
"83","0.158153","1.2.1","host","USB","40","URB_INTERRUPT in"
"84","0.158172","host","1.2.1","USB","27","URB_INTERRUPT in"
"85","0.159174","1.2.1","host","USB","40","URB_INTERRUPT in"
"86","0.159192","host","1.2.1","USB","27","URB_INTERRUPT in"
"87","0.160154","1.2.1","host","USB","40","URB_INTERRUPT in"
"88","0.160173","host","1.2.1","USB","27","URB_INTERRUPT in"
"89","0.161152","1.2.1","host","USB","40","URB_INTERRUPT in"
"90","0.161170","host","1.2.1","USB","27","URB_INTERRUPT in"
"91","0.162152","1.2.1","host","USB","40","URB_INTERRUPT in"
"92","0.162168","host","1.2.1","USB","27","URB_INTERRUPT in"
"93","0.163152","1.2.1","host","USB","40","URB_INTERRUPT in"
"94","0.163167","host","1.2.1","USB","27","URB_INTERRUPT in"
"95","0.164153","1.2.1","host","USB","40","URB_INTERRUPT in"
"96","0.164171","host","1.2.1","USB","27","URB_INTERRUPT in"
"97","0.165152","1.2.1","host","USB","40","URB_INTERRUPT in"
"98","0.165167","host","1.2.1","USB","27","URB_INTERRUPT in"
"99","0.166152","1.2.1","host","USB","40","URB_INTERRUPT in"
"100","0.166167","host","1.2.1","USB","27","URB_INTERRUPT in"
"101","0.167153","1.2.1","host","USB","40","URB_INTERRUPT in"
"102","0.167173","host","1.2.1","USB","27","URB_INTERRUPT in"
"103","0.168153","1.2.1","host","USB","40","URB_INTERRUPT in"
"104","0.168170","host","1.2.1","USB","27","URB_INTERRUPT in"
"105","0.169199","1.2.1","host","USB","40","URB_INTERRUPT in"
"106","0.169219","host","1.2.1","USB","27","URB_INTERRUPT in"
"107","0.170153","1.2.1","host","USB","40","URB_INTERRUPT in"
"108","0.170170","host","1.2.1","USB","27","URB_INTERRUPT in"
"109","0.171153","1.2.1","host","USB","40","URB_INTERRUPT in"
"110","0.171173","host","1.2.1","USB","27","URB_INTERRUPT in"
"111","0.172154","1.2.1","host","USB","40","URB_INTERRUPT in"
"112","0.172175","host","1.2.1","USB","27","URB_INTERRUPT in"
"113","0.173154","1.2.1","host","USB","40","URB_INTERRUPT in"
"114","0.173172","host","1.2.1","USB","27","URB_INTERRUPT in"
"115","0.174152","1.2.1","host","USB","40","URB_INTERRUPT in"
"116","0.174169","host","1.2.1","USB","27","URB_INTERRUPT in"
"117","0.175153","1.2.1","host","USB","40","URB_INTERRUPT in"
"118","0.175170","host","1.2.1","USB","27","URB_INTERRUPT in"
"119","0.176160","1.2.1","host","USB","40","URB_INTERRUPT in"
"120","0.176178","host","1.2.1","USB","27","URB_INTERRUPT in"
"121","0.177152","1.2.1","host","USB","40","URB_INTERRUPT in"
"122","0.177170","host","1.2.1","USB","27","URB_INTERRUPT in"
"123","0.178153","1.2.1","host","USB","40","URB_INTERRUPT in"
"124","0.178171","host","1.2.1","USB","27","URB_INTERRUPT in"
"125","0.179160","1.2.1","host","USB","40","URB_INTERRUPT in"
"126","0.179179","host","1.2.1","USB","27","URB_INTERRUPT in"
"127","0.180154","1.2.1","host","USB","40","URB_INTERRUPT in"
"128","0.180175","host","1.2.1","USB","27","URB_INTERRUPT in"
"129","0.181153","1.2.1","host","USB","40","URB_INTERRUPT in"
"130","0.181169","host","1.2.1","USB","27","URB_INTERRUPT in"
"131","0.182153","1.2.1","host","USB","40","URB_INTERRUPT in"
"132","0.182168","host","1.2.1","USB","27","URB_INTERRUPT in"
"133","0.183152","1.2.1","host","USB","40","URB_INTERRUPT in"
"134","0.183168","host","1.2.1","USB","27","URB_INTERRUPT in"
"135","0.184154","1.2.1","host","USB","40","URB_INTERRUPT in"
"136","0.184173","host","1.2.1","USB","27","URB_INTERRUPT in"
"137","0.185154","1.2.1","host","USB","40","URB_INTERRUPT in"
"138","0.185171","host","1.2.1","USB","27","URB_INTERRUPT in"
"139","0.186153","1.2.1","host","USB","40","URB_INTERRUPT in"
"140","0.186170","host","1.2.1","USB","27","URB_INTERRUPT in"
"141","0.187152","1.2.1","host","USB","40","URB_INTERRUPT in"
"142","0.187168","host","1.2.1","USB","27","URB_INTERRUPT in"
"143","0.188155","1.2.1","host","USB","40","URB_INTERRUPT in"
"144","0.188177","host","1.2.1","USB","27","URB_INTERRUPT in"
"145","0.189155","1.2.1","host","USB","40","URB_INTERRUPT in"
"146","0.189176","host","1.2.1","USB","27","URB_INTERRUPT in"
"147","0.190152","1.2.1","host","USB","40","URB_INTERRUPT in"
"148","0.190168","host","1.2.1","USB","27","URB_INTERRUPT in"
"149","0.191152","1.2.1","host","USB","40","URB_INTERRUPT in"
"150","0.191166","host","1.2.1","USB","27","URB_INTERRUPT in"
"151","0.192152","1.2.1","host","USB","40","URB_INTERRUPT in"
"152","0.192171","host","1.2.1","USB","27","URB_INTERRUPT in"
"153","0.193154","1.2.1","host","USB","40","URB_INTERRUPT in"
"154","0.193172","host","1.2.1","USB","27","URB_INTERRUPT in"
"155","0.194152","1.2.1","host","USB","40","URB_INTERRUPT in"
"156","0.194169","host","1.2.1","USB","27","URB_INTERRUPT in"
"157","0.195150","1.2.1","host","USB","40","URB_INTERRUPT in"
"158","0.195165","host","1.2.1","USB","27","URB_INTERRUPT in"
"159","0.196150","1.2.1","host","USB","40","URB_INTERRUPT in"
"160","0.196165","host","1.2.1","USB","27","URB_INTERRUPT in"
"161","0.197153","1.2.1","host","USB","40","URB_INTERRUPT in"
"162","0.197170","host","1.2.1","USB","27","URB_INTERRUPT in"
"163","0.198153","1.2.1","host","USB","40","URB_INTERRUPT in"
"164","0.198168","host","1.2.1","USB","27","URB_INTERRUPT in"
"165","0.199152","1.2.1","host","USB","40","URB_INTERRUPT in"
"166","0.199168","host","1.2.1","USB","27","URB_INTERRUPT in"
"167","0.200153","1.2.1","host","USB","40","URB_INTERRUPT in"
"168","0.200170","host","1.2.1","USB","27","URB_INTERRUPT in"
"169","0.201154","1.2.1","host","USB","40","URB_INTERRUPT in"
"170","0.201173","host","1.2.1","USB","27","URB_INTERRUPT in"
"171","0.202152","1.2.1","host","USB","40","URB_INTERRUPT in"
"172","0.202167","host","1.2.1","USB","27","URB_INTERRUPT in"
"173","0.203151","1.2.1","host","USB","40","URB_INTERRUPT in"
"174","0.203168","host","1.2.1","USB","27","URB_INTERRUPT in"
"175","0.204152","1.2.1","host","USB","40","URB_INTERRUPT in"
"176","0.204167","host","1.2.1","USB","27","URB_INTERRUPT in"
"177","0.205158","1.2.1","host","USB","40","URB_INTERRUPT in"
"178","0.205176","host","1.2.1","USB","27","URB_INTERRUPT in"
"179","0.206152","1.2.1","host","USB","40","URB_INTERRUPT in"
"180","0.206169","host","1.2.1","USB","27","URB_INTERRUPT in"
"181","0.207152","1.2.1","host","USB","40","URB_INTERRUPT in"
"182","0.207171","host","1.2.1","USB","27","URB_INTERRUPT in"
"183","0.208152","1.2.1","host","USB","40","URB_INTERRUPT in"
"184","0.208169","host","1.2.1","USB","27","URB_INTERRUPT in"
"185","0.209155","1.2.1","host","USB","40","URB_INTERRUPT in"
"186","0.209199","host","1.2.1","USB","27","URB_INTERRUPT in"
"187","0.210153","1.2.1","host","USB","40","URB_INTERRUPT in"
"188","0.210171","host","1.2.1","USB","27","URB_INTERRUPT in"
"189","0.211153","1.2.1","host","USB","40","URB_INTERRUPT in"
"190","0.211169","host","1.2.1","USB","27","URB_INTERRUPT in"
"191","0.212153","1.2.1","host","USB","40","URB_INTERRUPT in"
"192","0.212171","host","1.2.1","USB","27","URB_INTERRUPT in"
"193","0.213153","1.2.1","host","USB","40","URB_INTERRUPT in"
"194","0.213173","host","1.2.1","USB","27","URB_INTERRUPT in"
"196","0.214153","1.2.1","host","USB","40","URB_INTERRUPT in"
"197","0.214172","host","1.2.1","USB","27","URB_INTERRUPT in"
"198","0.215151","1.2.1","host","USB","40","URB_INTERRUPT in"
"199","0.215170","host","1.2.1","USB","27","URB_INTERRUPT in"
"201","0.216152","1.2.1","host","USB","40","URB_INTERRUPT in"
"202","0.216169","host","1.2.1","USB","27","URB_INTERRUPT in"
"203","0.217153","1.2.1","host","USB","40","URB_INTERRUPT in"
"204","0.217173","host","1.2.1","USB","27","URB_INTERRUPT in"
"205","0.218155","1.2.1","host","USB","40","URB_INTERRUPT in"
"206","0.218177","host","1.2.1","USB","27","URB_INTERRUPT in"
"207","0.219153","1.2.1","host","USB","40","URB_INTERRUPT in"
"208","0.219171","host","1.2.1","USB","27","URB_INTERRUPT in"
"209","0.220153","1.2.1","host","USB","40","URB_INTERRUPT in"
"210","0.220170","host","1.2.1","USB","27","URB_INTERRUPT in"
"211","0.221177","1.2.1","host","USB","40","URB_INTERRUPT in"
"212","0.221193","host","1.2.1","USB","27","URB_INTERRUPT in"
"213","0.222157","1.2.1","host","USB","40","URB_INTERRUPT in"
"214","0.222180","host","1.2.1","USB","27","URB_INTERRUPT in"
"215","0.223155","1.2.1","host","USB","40","URB_INTERRUPT in"
"216","0.223175","host","1.2.1","USB","27","URB_INTERRUPT in"
"217","0.224153","1.2.1","host","USB","40","URB_INTERRUPT in"
"218","0.224171","host","1.2.1","USB","27","URB_INTERRUPT in"
"219","0.225153","1.2.1","host","USB","40","URB_INTERRUPT in"
"220","0.225171","host","1.2.1","USB","27","URB_INTERRUPT in"
